,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 1)",(-4.920114479237826+0j),(6.937336317735279+0j),(0.6176381319522685+0j),(-0.1583556897069254+0j),(0.012309177183892024+0j),(-0.0004426586656987481+0j),(8.663058889943176e-06+0j),(-9.286401369681712e-08+0j),(-4.960911178974885e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 1)",(-0.2383751343761599+0j),(-8.520050341668087+0j),(10.366173487442873+0j),(-2.1716115959696896+0j),(0.1676053127759652+0j),(-0.006027193324804485+0j),(0.00011795528520594778+0j),(-1.2644265091275363e-06+0j),(-6.7546808831725556e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 1)",(0.04641974735105232+0j),(1.522721293046428+0j),(11.570274125612249+0j),(10.317226074862402+0j),(-0.6826552138188767+0j),(0.024534480574227833+0j),(-0.00048015216782417266+0j),(5.147010824981806e-06+0j),(2.7495792411253084e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 1)",(-0.006975186773480994+0j),(-0.22787887410037855+0j),(-1.3030569241657564+0j),(9.58749960776817+0j),(9.1919045366477+0j),(-0.31344271458678924+0j),(0.006133911782815767+0j),(-6.575271744585766e-05+0j),(-3.5125690367100857e-07+0j),(6.259536331868255e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 1)",(0.0003525359609514594+0j),(0.011516769420495315+0j),(0.06566296255705967+0j),(-0.446462542018585+0j),(8.828160347914904+0j),(8.459015017497972+0j),(-0.1610040584043515+0j),(0.0017258745481474357+0j),(9.219776377857404e-06+0j),(-1.643001010509932e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 1)",(-9.295246589159246e-06+0j),(-0.00030366037379340815+0j),(-0.0017313125592573859+0j),(0.01177000577673628+0j),(-0.22412613395095432+0j),(8.067367161965857+0j),(7.64012938474356+0j),(-0.08063327669541286+0j),(-0.000430749530511222+0j),(7.676129169568637e-07+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 1)",(1.3522806147760777e-07+0j),(4.417677760792229e-06+0j),(2.518728692022498e-05+0j),(-0.00017123106196559787+0j),(0.0032605382981479884+0j),(-0.11495243213974136+0j),(7.164679359383675+0j),(6.62631457706167+0j),(0.035097236760847625+0j),(-6.254466859431526e-05+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 1)",(1.0450769597454966e-09+0j),(3.4140940584669245e-08+0j),(1.9465377945383206e-07+0j),(-1.3233173316109638e-06+0j),(2.519827169383595e-05+0j),(-0.0008883784611761975+0j),(0.05473070580490293+0j),(-6.004956554323646+0j),(5.268837308691504+0j),(-0.009350731173021576+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 1)",0j,(-1.1612691952712049e-10+0j),(-6.62094761186769e-10+0j),(4.501124775897673e-09+0j),(-8.57092548065624e-08+0j),(3.0217252951232918e-06+0j),(-0.0001861605909589501+0j),(0.02030111359805637+0j),(4.358077879074167+0j),(3.1213156384690457+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(0, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.920065073246586+0j),(0.23552333117809535+0j),(-0.024039951254716137+0j),(0.0017171687859978521+0j),(-6.17241171794549e-05+0j),(1.2079722004318863e-06+0j),(-1.2948910562930067e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
