,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 1)",(-1.6183148408846049+0j),(2.2818156704633883+0j),(0.20315237774490297+0j),(-0.05208605691440052+0j),(0.004048711508535877+0j),(-0.0001455984593874242+0j),(2.8494372608335247e-06+0j),(-3.0544581217507687e-08+0j),(-1.6304138765531155e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.858453593078935+0j),(-0.5300255942922325+0j),(0.05406438884677656+0j),(-0.004367635982440044+0j),(0.0001811382198400307+0j),(-4.167738420826454e-06+0j),(5.461453337035453e-08+0j),(3.882545887708925e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 1)",(-0.07840590280708047+0j),(-2.8023990033544672+0j),(3.409622371330047+0j),(-0.7142824194892499+0j),(0.055128425613118814+0j),(-0.001982453141662871+0j),(3.879763138527059e-05+0j),(-4.158928610317747e-07+0j),(-2.2216649532428093e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2837046467111987+0j),(-2.942885279157056+0j),(0.7255800076685864+0j),(-0.05946511121218162+0j),(0.0024663584344934153+0j),(-5.6747483418641276e-05+0j),(7.436263915350932e-07+0j),(5.285531427031559e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 1)",(0.015268296371037517+0j),(0.5008506361928483+0j),(3.8056728983842367+0j),(3.3935226800453107+0j),(-0.2245376745585803+0j),(0.008069835406132764+0j),(-0.00015793075176680216+0j),(1.6929452010018553e-06+0j),(9.043840256978825e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.055344353526894444+0j),(0.9337542383162148+0j),(-2.2959898763450086+0j),(0.241723110627161+0j),(-0.010039610445583824+0j),(0.00023099793320495443+0j),(-3.027027222754497e-06+0j),(-2.1515378990574763e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 1)",(-0.0022942653715410793+0j),(-0.07495349253298483+0j),(-0.42859904333381027+0j),(3.1535024170069113+0j),(3.0233840270230004+0j),(-0.10309699071489406+0j),(0.002017554776918243+0j),(-2.1627260655130917e-05+0j),(-1.1553481699968192e-07+0j),(2.0598188137251582e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.008316956086928826+0j),(-0.14483493799014252+0j),(1.420723975630869+0j),(-2.749903030675865+0j),(0.12823399049858342+0j),(-0.0029509828594808593+0j),(3.8670069304188454e-05+0j),(2.7485776386273683e-07+0j),(-8.727224847741161e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 1)",(0.00011595546819779395+0j),(0.003788074230931887+0j),(0.021597738680845135+0j),(-0.1468496232549411+0j),(2.9037419696286597+0j),(2.782323378825754+0j),(-0.05295715338695476+0j),(0.0005676714243089192+0j),(3.0325517318828717e-06+0j),(-5.404209504833652e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0004203513470416153+0j),(0.00732297194898654+0j),(-0.07456741802877614+0j),(1.2353950607852497+0j),(-3.0955015019534877+0j),(0.07745430567834627+0j),(-0.0010150103352817678+0j),(-7.214456272737002e-06+0j),(2.2905397017172974e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 1)",(-3.0573751976840056e-06+0j),(-9.987940140040313e-05+0j),(-0.000569460084897222+0j),(0.0038713682591769716+0j),(-0.07371914827057906+0j),(2.6535032996014745+0j),(2.5129770499820006+0j),(-0.026521746373144+0j),(-0.00014168132907939937+0j),(2.5248188104979573e-07+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.1083321476800315e-05+0j),(-0.00019308350893528642+0j),(0.001966250326355487+0j),(-0.03307654045479612+0j),(1.0075954834106593+0j),(-3.388337737414115+0j),(0.04742098324963272+0j),(0.0003370606311170231+0j),(-1.0701430806030651e-06+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 1)",(4.447896505917117e-08+0j),(1.4530545266386308e-06+0j),(8.284555305507202e-06+0j),(-5.632100023924419e-05+0j),(0.0010724501511864808+0j),(-0.03780993871441386+0j),(2.3565929179897065+0j),(2.17951498195441+0j),(0.011544117390743734+0j),(-2.057207536324361e-05+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.6124106155921032e-07+0j),(2.8089957680053554e-06+0j),(-2.8605183483814203e-05+0j),(0.00048120460866371995+0j),(-0.01475308387140069+0j),(0.7719484472906338+0j),(-3.659193281896375+0j),(-0.02746344269591666+0j),(8.719465975451845e-05+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 1)",(3.4380989883135617e-10+0j),(1.1229643266273334e-08+0j),(6.402525382781521e-08+0j),(-4.3526320500728716e-07+0j),(8.288168453424779e-06+0j),(-0.0002922037797870768+0j),(0.0180019212620126+0j),(-1.9751390646980105+0j),(1.7330161009145257+0j),(-0.0030756249869328947+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.246172541636355e-09+0j),(2.170863935802795e-08+0j),(-2.210681218526786e-07+0j),(3.7188719502483265e-06+0j),(-0.00011401572720694004+0j),(0.005981473368861657+0j),(-0.5333501670797556+0j),(-3.918700590607646+0j),(0.01303601863664871+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 1)",0j,0j,(-2.1774895466375108e-10+0j),(1.4804455527694764e-09+0j),(-2.819126053207736e-08+0j),(9.939001994706796e-07+0j),(-6.123159298668841e-05+0j),(0.006677404267892581+0j),(1.4334508148535474+0j),(1.0266572946901111+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(7.520131520402434e-10+0j),(-1.2649404680691511e-08+0j),(3.8781243234843474e-07+0j),(-2.034535119245541e-05+0j),(0.001815810621956176+0j),(0.2922458834739399+0j),(-4.171591426664057+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(0, 18, 2)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.6182985903585831+0j),(0.07746789303964155+0j),(-0.007907175748468671+0j),(0.0005648079414694723+0j),(-2.0302180984834578e-05+0j),(3.973238901942497e-07+0j),(-4.259044795226069e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.198944954550438+0j),(-0.3019888861590215+0j),(-0.024817357887618074+0j),(0.006545548595977881+0j),(-0.0006083832713888598+0j),(-2.525777112836851e-05+0j),(-5.811471684913014e-07+0j),(7.615341781870913e-09+0j),0j,0j
