frequency,intensity,lower_state,upper_state
-20.169809942769515,4.56690889702851e-06,"(3, 9, 2)","(1, 8, 3)"
-20.16705547947987,0.0029710434594972185,"(2, 27, 3)","(2, 26, 2)"
-20.154084107024353,4.572624653100895e-06,"(3, 9, 1)","(2, 8, 0)"
-20.137909007461005,3.3784130257803024e-07,"(5, 14, 0)","(3, 15, 1)"
-20.136586970341128,3.378529182077139e-07,"(4, 14, 3)","(3, 15, 2)"
-20.135644917184315,9.787454034593684e-06,"(3, 13, 0)","(2, 13, 1)"
-20.122299550242815,0.00956472967515943,"(5, 14, 1)","(4, 13, 0)"
-20.122299549423246,0.009564729675259932,"(5, 14, 2)","(5, 13, 3)"
-20.11225896688812,5.933853359302336e-05,"(2, 14, 1)","(0, 13, 0)"
-20.110013654749082,8.160141323659575e-06,"(9, 22, 1)","(8, 23, 0)"
-20.11001365474891,8.160141323650068e-06,"(9, 22, 2)","(9, 23, 3)"
-20.093057845251167,7.164770415776584e-05,"(3, 19, 1)","(1, 19, 0)"
-20.074352162774886,0.002371796919809134,"(2, 25, 0)","(2, 24, 1)"
-20.073624671494812,0.00012130482529071821,"(3, 23, 3)","(1, 23, 2)"
-20.072747446914136,3.8182420720156655e-07,"(2, 21, 0)","(0, 22, 1)"
-20.06801600092531,9.827430122876726e-06,"(4, 13, 3)","(2, 13, 2)"
-20.06244548069732,0.010853572097320796,"(5, 12, 3)","(5, 11, 2)"
-20.062445480697292,0.010853572097319622,"(6, 12, 0)","(5, 11, 1)"
-20.059717623788742,0.0009196762880925672,"(5, 30, 0)","(4, 30, 1)"
-20.051753425853803,6.151227553885563e-06,"(9, 21, 1)","(9, 22, 0)"
-20.05175342585372,6.151227553887463e-06,"(9, 21, 2)","(8, 22, 3)"
-20.014883694181236,3.839267855789402e-06,"(9, 20, 2)","(9, 21, 3)"
-20.014883694181208,3.839267855788604e-06,"(9, 20, 1)","(8, 21, 0)"
-19.999458294633968,1.5875934185969053e-06,"(9, 19, 1)","(9, 20, 0)"
-19.99945829463394,1.5875934185929469e-06,"(9, 19, 2)","(8, 20, 3)"
-19.99906347649835,0.0013029481077594717,"(5, 27, 1)","(4, 27, 0)"
-19.99408189034847,0.0013030203968830683,"(5, 27, 2)","(5, 27, 3)"
-19.99336758236032,0.0002503711841269555,"(4, 30, 0)","(4, 29, 1)"
-19.983910657884678,5.505386329028414e-07,"(5, 15, 3)","(3, 16, 2)"
-19.98061582375108,5.505872734903895e-07,"(4, 15, 0)","(3, 16, 1)"
-19.948349096776127,0.0013304634302087033,"(6, 18, 3)","(6, 18, 2)"
-19.94834909676996,0.001330463430208988,"(7, 18, 0)","(6, 18, 1)"
-19.939440357824864,0.004260497338576647,"(3, 20, 1)","(2, 19, 0)"
-19.927069690634454,8.723771467069763e-07,"(3, 22, 2)","(1, 23, 3)"
-19.92220717877116,7.96745816994733e-06,"(1, 18, 1)","(0, 18, 0)"
-19.907992841296988,3.681631685862743e-06,"(5, 29, 3)","(3, 30, 2)"
-19.90629043396565,1.253635240158804e-06,"(3, 22, 3)","(1, 23, 2)"
-19.90515314116839,6.269037056262707e-06,"(3, 12, 3)","(2, 12, 2)"
-19.88801840539025,6.552715690599822e-08,"(3, 15, 2)","(0, 16, 3)"
-19.88262874679168,0.00022422031659767485,"(3, 24, 1)","(2, 24, 0)"
-19.873694414774803,6.279995112213689e-06,"(4, 12, 0)","(2, 12, 1)"
-19.839799625550853,8.252550551510438e-07,"(5, 16, 0)","(3, 17, 1)"
-19.83213070199926,8.25431427493494e-07,"(4, 16, 3)","(3, 17, 2)"
-19.81640996364324,0.00046250262600073253,"(1, 17, 0)","(0, 16, 1)"
-19.81397889953434,0.00020840351875306138,"(2, 15, 0)","(1, 14, 1)"
-19.812571427129143,0.007401078853112307,"(4, 17, 2)","(3, 16, 3)"
-19.812410533931327,0.007401104382547667,"(4, 17, 1)","(4, 16, 0)"
-19.802192056914805,0.0016227152291360353,"(5, 24, 3)","(5, 24, 2)"
-19.80216735062649,0.0016227155752179207,"(6, 24, 0)","(5, 24, 1)"
-19.792200004794985,2.381505263349468e-06,"(2, 11, 1)","(0, 10, 0)"
-19.792088374524184,9.287453594924884e-08,"(2, 20, 0)","(0, 21, 1)"
-19.786280254211306,6.138202878662353e-08,"(2, 10, 3)","(0, 10, 2)"
-19.770404707270018,0.0016993751262279185,"(6, 21, 1)","(5, 21, 0)"
-19.77040467629891,0.0016993751266125917,"(6, 21, 2)","(6, 21, 3)"
-19.75111215887776,0.0062575116352529755,"(0, 30, 2)","(0, 29, 3)"
-19.75111214326523,0.006257511635529043,"(0, 30, 0)","(0, 29, 1)"
-19.718072217894786,0.0004695910418799982,"(0, 30, 3)","(0, 30, 2)"
-19.718071733163413,0.00046959104697842186,"(0, 30, 1)","(0, 30, 0)"
-19.716664994874208,0.0011226430878453159,"(4, 29, 0)","(4, 29, 1)"
-19.70454591488108,1.1586388148797293e-06,"(5, 17, 3)","(3, 18, 2)"
-19.702465162718312,0.0055501701869583794,"(0, 29, 0)","(0, 28, 1)"
-19.702462269690557,0.005550170221776714,"(0, 29, 2)","(0, 28, 3)"
-19.69525216935159,0.0006892510438570509,"(2, 17, 1)","(1, 16, 0)"
-19.688104447978127,3.637401297549483e-06,"(3, 11, 0)","(2, 11, 1)"
-19.687753820523213,1.1592081122379312e-06,"(4, 17, 0)","(3, 18, 1)"
-19.674699076988972,3.639955955706237e-06,"(4, 11, 3)","(2, 11, 2)"
-19.648195387824728,0.0007731647955652777,"(1, 30, 2)","(0, 30, 3)"
-19.64817490505709,0.0007731651650761647,"(1, 30, 0)","(0, 30, 1)"
-19.60712665498258,0.004885109387335673,"(1, 28, 2)","(1, 27, 3)"
-19.606905071572896,0.00488511057420125,"(1, 28, 0)","(1, 27, 1)"
-19.586942285190272,1.0830672316171683e-07,"(2, 8, 3)","(0, 7, 2)"
-19.577908252528573,4.0178036766620825e-06,"(5, 28, 0)","(3, 29, 1)"
-19.57756831351118,1.542361756461005e-06,"(5, 18, 0)","(3, 19, 1)"
-19.569237470024262,0.0009884074938084622,"(3, 27, 3)","(3, 26, 2)"
-19.56629293560642,2.0729782184598214e-06,"(3, 8, 1)","(1, 7, 0)"
-19.56093783878251,2.07382602108405e-06,"(3, 8, 2)","(2, 7, 3)"
-19.552384612455057,0.0012623704317176394,"(6, 17, 0)","(6, 17, 1)"
-19.55238461245409,0.0012623704317175242,"(7, 17, 3)","(6, 17, 2)"
-19.549266679268925,0.0011262672390244274,"(5, 29, 3)","(4, 29, 2)"
-19.549204504726603,0.004370055080253909,"(3, 20, 2)","(3, 19, 3)"
-19.54279189716884,1.5440323347151772e-06,"(4, 18, 3)","(3, 19, 2)"
-19.539840073101843,6.37224635935855e-05,"(2, 19, 0)","(1, 19, 1)"
-19.535562751518142,0.009173156582350813,"(5, 15, 3)","(4, 14, 2)"
-19.53556240699413,0.0091731566329649,"(4, 15, 0)","(4, 14, 1)"
-19.509447202361926,0.0029471174851345276,"(3, 20, 0)","(2, 19, 1)"
-19.504710261979852,0.0009680226543185551,"(1, 30, 3)","(1, 30, 2)"
-19.504195066447636,0.0009680349732024885,"(1, 30, 1)","(1, 30, 0)"
-19.48967225279418,0.0025983898481123065,"(2, 24, 3)","(2, 23, 2)"
-19.483825969970013,1.830316293091771e-06,"(3, 10, 3)","(2, 10, 2)"
-19.478668793966975,1.8307907083867932e-06,"(4, 10, 0)","(2, 10, 1)"
-19.470846476356087,0.0042063054052436984,"(1, 27, 0)","(1, 26, 1)"
-19.465347648155955,7.015339261183591e-05,"(2, 21, 2)","(1, 21, 3)"
-19.461900120023927,0.004206270407931436,"(1, 27, 2)","(1, 26, 3)"
-19.459049167452577,1.963653398961957e-06,"(5, 19, 3)","(3, 20, 2)"
-19.436945860815058,0.0015441354331220778,"(5, 26, 2)","(4, 26, 3)"
-19.434547688393252,0.0015441759686537265,"(5, 26, 1)","(5, 26, 0)"
-19.428596737927,4.6136784497892666e-05,"(3, 12, 0)","(1, 11, 1)"
-19.401391214324036,7.087480133519118e-05,"(3, 18, 2)","(1, 18, 3)"
-19.393657822627276,3.8839206137845624e-07,"(2, 22, 1)","(0, 23, 0)"
-19.390670935552023,1.9681885266603576e-06,"(4, 19, 0)","(3, 20, 1)"
-19.38769290239219,0.003412628419726786,"(2, 26, 2)","(2, 25, 3)"
-19.386274237340828,0.010748282404806731,"(5, 13, 2)","(4, 12, 3)"
-19.38627423723399,0.010748282404821908,"(5, 13, 1)","(5, 12, 0)"
-19.38113424233692,4.713303092278487e-06,"(3, 14, 0)","(0, 14, 1)"
-19.377978002019177,1.4498753730975065e-05,"(9, 29, 3)","(8, 30, 2)"
-19.37797800200275,1.4498753730972195e-05,"(8, 29, 0)","(8, 30, 1)"
-19.37439939759328,1.1667515303207251e-07,"(2, 19, 1)","(0, 20, 0)"
-19.36475089292867,0.00648709427331479,"(4, 18, 0)","(3, 17, 1)"
-19.35601966168018,0.00648883118931968,"(3, 18, 3)","(3, 17, 2)"
-19.350309612485475,2.4060214493235163e-06,"(5, 20, 0)","(3, 21, 1)"
-19.34646752217276,4.213871575411627e-06,"(5, 27, 3)","(3, 28, 2)"
-19.321362369856985,5.445944155777295e-08,"(3, 14, 1)","(0, 15, 0)"
-19.32050266423348,0.00014367350695895106,"(2, 14, 3)","(1, 13, 2)"
-19.312428807709914,4.015603659854598e-08,"(3, 13, 0)","(1, 14, 1)"
-19.312413060207803,0.0018246211028101692,"(6, 20, 2)","(5, 20, 3)"
-19.31241305165375,0.0018246211029247688,"(6, 20, 1)","(6, 20, 0)"
-19.311169241883846,0.0020820821943091502,"(2, 26, 1)","(2, 25, 0)"
-19.310218262971077,1.2993605868045506e-06,"(3, 21, 0)","(1, 22, 1)"
-19.292699808272157,7.305568529886504e-07,"(3, 9, 0)","(2, 9, 1)"
-19.29094817211641,7.30619307555641e-07,"(4, 9, 3)","(2, 9, 2)"
-19.286989703197122,0.0018461397164984074,"(5, 23, 0)","(5, 23, 1)"
-19.28698030659649,0.0018461398665382594,"(6, 23, 3)","(5, 23, 2)"
-19.26867914523197,0.0010942325641388913,"(2, 30, 2)","(1, 30, 3)"
-19.260218936944284,0.0010944823132220866,"(2, 30, 0)","(1, 30, 1)"
-19.254197133404574,2.8499442408035696e-06,"(5, 21, 3)","(3, 22, 2)"
-19.25219184649294,0.0004926631371670676,"(1, 17, 2)","(0, 16, 3)"
-19.222370841826717,2.4175870738406327e-06,"(4, 20, 3)","(3, 21, 2)"
-19.19890600999554,4.262701187285601e-06,"(5, 26, 0)","(3, 27, 1)"
-19.190707184401674,0.003408259389848856,"(2, 26, 0)","(2, 25, 1)"
-19.181889597032907,1.6906633498323281e-06,"(2, 14, 1)","(0, 14, 0)"
-19.177984892824867,0.0011161887882788894,"(6, 16, 3)","(6, 16, 2)"
-19.17798489282484,0.00111618878827886,"(7, 16, 0)","(6, 16, 1)"
-19.175415960935197,3.273387382303967e-06,"(5, 22, 0)","(3, 23, 1)"
-19.174337591668404,1.6199645817464853e-05,"(9, 28, 0)","(8, 29, 1)"
-19.17433759166397,1.619964581745874e-05,"(8, 28, 3)","(8, 29, 2)"
-19.148435496770134,0.0009136407195181493,"(2, 18, 0)","(1, 17, 1)"
-19.136334255040595,0.0011023581441959081,"(4, 30, 2)","(3, 30, 3)"
-19.122667139042292,1.4532110271711166e-05,"(2, 13, 3)","(0, 12, 2)"
-19.122392818212006,0.0013634230199828419,"(4, 28, 3)","(4, 28, 2)"
-19.120919931673797,4.172096331201109e-06,"(5, 25, 3)","(3, 26, 2)"
-19.120728400782156,3.652173249250826e-06,"(5, 23, 3)","(3, 24, 2)"
-19.115744014190913,1.808128535289085e-07,"(3, 8, 3)","(2, 8, 2)"
-19.115236757370543,1.8081723877941077e-07,"(4, 8, 0)","(2, 8, 1)"
-19.098977319278987,3.96049391094808e-06,"(5, 24, 0)","(3, 25, 1)"
-19.027418900601106,0.0004955057430826966,"(3, 28, 1)","(3, 27, 0)"
-19.026710422535388,0.005204094815697913,"(3, 19, 2)","(2, 18, 3)"
-19.026211094197947,2.8780134350752063e-06,"(4, 21, 0)","(3, 22, 1)"
-19.02546669116876,0.0013657095525806495,"(5, 28, 0)","(4, 28, 1)"
-19.01295803307046,0.00851012067683532,"(4, 16, 1)","(3, 15, 0)"
-19.01290395999517,0.008510130311784077,"(4, 16, 2)","(4, 15, 3)"
-19.002398830937253,0.001770730369453781,"(2, 19, 2)","(1, 18, 3)"
-18.991411157802588,1.7693766041383723e-05,"(9, 27, 3)","(8, 28, 2)"
-18.991411157801338,1.7693766041382923e-05,"(8, 27, 0)","(8, 28, 1)"
-18.979377073856096,6.18245537963919e-07,"(3, 7, 2)","(1, 6, 3)"
-18.977896054860842,6.183136840066682e-07,"(3, 7, 1)","(2, 6, 0)"
-18.977457441322763,0.0002028832207577685,"(1, 16, 2)","(0, 15, 3)"
-18.971542116528425,3.341926493067683e-05,"(2, 19, 3)","(0, 19, 2)"
-18.964084494267297,3.5340590038521965e-05,"(2, 18, 2)","(0, 18, 3)"
-18.958209045728097,0.002856550702858378,"(2, 23, 0)","(2, 22, 1)"
-18.953624957977524,4.250927017368659e-06,"(4, 29, 2)","(2, 30, 3)"
-18.92979203241657,0.0011797352942496567,"(2, 30, 3)","(2, 30, 2)"
-18.927804936461484,3.177553972646858e-06,"(4, 28, 0)","(2, 29, 1)"
-18.909663883492016,1.0571361183060988e-06,"(3, 24, 0)","(1, 25, 1)"
-18.901947283735524,1.0963749726205688e-06,"(3, 21, 1)","(1, 22, 0)"
-18.89586296297918,9.64546923695934e-08,"(3, 14, 3)","(1, 15, 2)"
-18.892578600593026,0.0018087200387959389,"(5, 25, 1)","(4, 25, 0)"
-18.89146778082798,0.001808741764889277,"(5, 25, 2)","(5, 25, 3)"
-18.87670394805881,1.0232371911560366e-05,"(1, 17, 0)","(0, 17, 1)"
-18.875412387336752,0.0019153814971243034,"(6, 19, 1)","(5, 19, 0)"
-18.875412385174144,0.0019153814971551435,"(6, 19, 2)","(6, 19, 3)"
-18.87258883852295,9.613835769721292e-05,"(2, 13, 0)","(1, 12, 1)"
-18.87211639011724,0.00020426404712492146,"(1, 16, 0)","(0, 15, 1)"
-18.862707008589567,4.0638853853344355e-08,"(3, 13, 2)","(0, 14, 3)"
-18.846256673403502,1.246950686692825e-06,"(3, 20, 3)","(1, 21, 2)"
-18.84289738477463,0.00028614651642545533,"(3, 23, 2)","(2, 23, 3)"
-18.83748047009547,0.001183223076043019,"(2, 30, 1)","(2, 30, 0)"
-18.82928580166316,1.8835671249275847e-05,"(9, 26, 0)","(8, 27, 1)"
-18.829285801662706,1.8835671249272076e-05,"(8, 26, 3)","(8, 27, 2)"
-18.82820389194933,0.007468762842845168,"(0, 29, 1)","(0, 28, 0)"
-18.828203859136607,0.007468762843476976,"(0, 29, 3)","(0, 28, 2)"
-18.825226317618913,0.0008723427892866713,"(6, 15, 0)","(6, 15, 1)"
-18.8252263176189,0.0008723427892865942,"(7, 15, 3)","(6, 15, 2)"
-18.816296474507197,6.687994175283439e-05,"(2, 13, 2)","(0, 12, 3)"
-18.808875838258857,0.005267936812187949,"(3, 19, 1)","(3, 18, 0)"
-18.808197092464724,5.230673912457326e-07,"(2, 20, 3)","(0, 21, 2)"
-18.807800351179807,6.613162168805785e-05,"(3, 17, 1)","(1, 17, 0)"
-18.791652793806037,0.002070443723894039,"(5, 22, 3)","(5, 22, 2)"
-18.791649406899808,0.0020704437847328576,"(6, 22, 0)","(5, 22, 1)"
-18.78866086351411,3.338732910253191e-06,"(4, 22, 3)","(3, 23, 2)"
-18.779618705210254,0.006588233098880975,"(0, 28, 3)","(0, 27, 2)"
-18.779612880219247,0.006588233169068401,"(0, 28, 1)","(0, 27, 0)"
-18.77770347000235,0.010369222797258654,"(5, 14, 0)","(4, 13, 1)"
-18.777703395002163,0.010369222809530563,"(4, 14, 3)","(4, 13, 2)"
-18.776492129071187,0.0005847254623865459,"(0, 29, 0)","(0, 29, 1)"
-18.776491147822867,0.0005847254754032802,"(0, 29, 2)","(0, 29, 3)"
-18.688044530753928,1.9464599347238498e-05,"(9, 25, 3)","(8, 26, 2)"
-18.688044530753643,1.9464599347240876e-05,"(8, 25, 0)","(8, 26, 1)"
-18.685915015850213,0.0009694033794113519,"(1, 29, 1)","(0, 29, 0)"
-18.685875303188624,0.0009694042929944369,"(1, 29, 3)","(0, 29, 2)"
-18.684578269144964,0.005753159614230716,"(1, 27, 1)","(1, 26, 0)"
-18.684154701705637,0.005753161019409659,"(1, 27, 3)","(1, 26, 2)"
-18.672556224859278,0.011998832035832997,"(5, 12, 1)","(4, 11, 0)"
-18.6725562248496,0.011998832035836482,"(5, 12, 2)","(5, 11, 3)"
-18.665189547275737,3.399291634002552e-05,"(3, 11, 3)","(1, 10, 2)"
-18.650384776578477,2.183024363968235e-06,"(3, 26, 1)","(1, 27, 0)"
-18.576018471632125,0.001235002273777748,"(3, 30, 2)","(2, 30, 3)"
-18.57383402922668,0.0007193262933934329,"(2, 16, 2)","(1, 15, 3)"
-18.56815969056946,2.0434183955210536e-07,"(3, 15, 0)","(1, 16, 1)"
-18.567766614558252,1.941742943975473e-05,"(9, 24, 0)","(8, 25, 1)"
-18.567766614557854,1.9417429439750542e-05,"(8, 24, 3)","(8, 25, 2)"
-18.552595884582587,0.004889778049022647,"(1, 26, 3)","(1, 25, 2)"
-18.552513213737733,2.0420044268369747e-06,"(2, 10, 2)","(0, 9, 3)"
-18.550947677825206,0.0016374097243143928,"(4, 27, 0)","(4, 27, 1)"
-18.547603654182765,0.00755730671149353,"(4, 17, 3)","(3, 16, 2)"
-18.547243624640636,4.1402695736485075e-06,"(3, 13, 3)","(0, 13, 2)"
-18.54389077533648,0.0075581314752092114,"(3, 17, 0)","(3, 16, 1)"
-18.536593206961868,0.00488962981846089,"(1, 26, 1)","(1, 25, 0)"
-18.53131849838411,0.0038561441925358377,"(2, 25, 1)","(2, 24, 0)"
-18.528457113860497,0.001225479494546648,"(3, 30, 3)","(3, 30, 2)"
-18.519114327169035,0.0012224065850646657,"(1, 29, 0)","(1, 29, 1)"
-18.518163556677223,0.001222435989117249,"(1, 29, 2)","(1, 29, 3)"
-18.516472966483647,1.0952414244611354e-06,"(3, 19, 0)","(1, 20, 1)"
-18.506345075861688,0.00019436045254602328,"(3, 22, 0)","(1, 22, 1)"
-18.496960791819703,3.797977611597655e-06,"(4, 23, 0)","(3, 24, 1)"
-18.496933302661688,0.0016388249789591313,"(5, 27, 3)","(4, 27, 2)"
-18.494179888535868,0.000508671467471224,"(6, 14, 3)","(6, 14, 2)"
-18.494179888535868,0.0005086714674709608,"(7, 14, 0)","(6, 14, 1)"
-18.486757409400923,7.476566032950769e-05,"(2, 18, 3)","(1, 18, 2)"
-18.468527895908977,1.8548913014182655e-05,"(9, 23, 3)","(8, 24, 2)"
-18.46852789590892,1.854891301418594e-05,"(8, 23, 0)","(8, 24, 1)"
-18.45955800832982,0.0031763825206080607,"(2, 22, 3)","(2, 21, 2)"
-18.45953222615796,0.001956656949730786,"(6, 18, 2)","(5, 18, 3)"
-18.459532225664816,0.0019566569497380996,"(6, 18, 1)","(6, 18, 0)"
-18.448623466640868,0.000554361290894821,"(1, 16, 3)","(0, 15, 2)"
-18.444264540135052,6.305121201487013e-05,"(2, 12, 3)","(1, 11, 2)"
-18.436286040863337,0.001366884475092236,"(4, 29, 1)","(3, 29, 0)"
-18.390401063291904,1.6760824719067658e-05,"(8, 22, 3)","(8, 23, 2)"
-18.390401063291847,1.676082471908049e-05,"(9, 22, 0)","(8, 23, 1)"
-18.366297911126935,0.002093132938975561,"(5, 24, 2)","(4, 24, 3)"
-18.36580411350917,0.0020931440240271604,"(5, 24, 1)","(5, 24, 0)"
-18.360189897821243,0.0003052834364597204,"(4, 29, 3)","(4, 28, 2)"
-18.35384091024966,3.786713924952099e-07,"(3, 16, 3)","(1, 17, 2)"
-18.33345588862693,1.4041739873538763e-05,"(8, 21, 0)","(8, 22, 1)"
-18.333455888626702,1.4041739873535132e-05,"(9, 21, 3)","(8, 22, 2)"
-18.328570064913947,0.00397581264259695,"(3, 19, 3)","(2, 18, 2)"
-18.3235674305308,8.683103052030615e-07,"(3, 18, 3)","(1, 19, 2)"
-18.31830450108047,1.0866988301179234e-05,"(1, 17, 2)","(0, 17, 3)"
-18.316427481113635,0.0022862448708721485,"(5, 21, 0)","(5, 21, 1)"
-18.31642633094478,0.0022862448937777573,"(6, 21, 3)","(5, 21, 2)"
-18.302525630811516,5.818322901945662e-05,"(3, 16, 2)","(1, 16, 3)"
-18.29775943446785,1.0519188555006914e-05,"(8, 20, 3)","(8, 21, 2)"
-18.297759434467707,1.051918855499755e-05,"(9, 20, 0)","(8, 21, 1)"
-18.290368447192577,2.6829556383877617e-06,"(9, 18, 0)","(8, 19, 1)"
-18.290368447192435,2.682955638384096e-06,"(8, 18, 3)","(8, 19, 2)"
-18.28337623405008,6.526012707275451e-06,"(9, 19, 3)","(8, 20, 2)"
-18.283376234049882,6.526012707272248e-06,"(8, 19, 0)","(8, 20, 1)"
-18.269705058299337,6.120696177497277e-07,"(3, 17, 0)","(1, 18, 1)"
-18.256642188758235,0.0013921221040101264,"(2, 29, 1)","(1, 29, 0)"
-18.241928172232605,0.0013926965163544934,"(2, 29, 3)","(1, 29, 2)"
-18.234598073080733,0.009697077746680062,"(4, 15, 2)","(3, 14, 3)"
-18.234581522294718,0.009697081037427311,"(4, 15, 1)","(4, 14, 0)"
-18.21166703239146,0.0038442886292280277,"(2, 25, 3)","(2, 24, 2)"
-18.183428739139174,0.00020601302971210057,"(4, 30, 1)","(4, 29, 0)"
-18.169730951832435,0.0002205570208277834,"(3, 30, 3)","(4, 29, 2)"
-18.161985821913078,5.449905459422138e-06,"(4, 28, 1)","(2, 29, 0)"
-18.16141028502254,0.006234098499731608,"(3, 18, 1)","(2, 17, 0)"
-18.14360405677172,4.2691608948467665e-06,"(4, 24, 3)","(3, 25, 2)"
-18.072863591800655,0.0022198588007178483,"(2, 25, 2)","(2, 24, 3)"
-18.064892133907136,0.001930989826957629,"(6, 17, 1)","(5, 17, 0)"
-18.06489213380783,0.0019309898269585617,"(6, 17, 2)","(6, 17, 3)"
-18.046360324547393,0.006269847850274681,"(3, 18, 2)","(3, 17, 3)"
-18.041897537781082,0.011631988905417074,"(5, 13, 3)","(4, 12, 2)"
-18.04189752414203,0.011631988907886885,"(4, 13, 0)","(4, 12, 1)"
-18.03989830930871,1.443502410347147e-07,"(2, 19, 3)","(0, 20, 2)"
-18.03220852999138,1.6351540540250982e-07,"(2, 18, 2)","(0, 19, 3)"
-18.03153288007067,0.0010506890217185805,"(3, 26, 0)","(3, 25, 1)"
-18.029259207393437,0.0003237585968232219,"(3, 22, 1)","(2, 22, 0)"
-18.012918340506516,4.051060676090879e-05,"(2, 11, 0)","(1, 10, 1)"
-17.99974477560707,0.001944473774858021,"(4, 26, 3)","(4, 26, 2)"
-17.997615118361793,1.308619412257051e-06,"(3, 20, 2)","(1, 21, 3)"
-17.981202046275342,0.013316591288792496,"(5, 11, 2)","(4, 10, 3)"
-17.981202046274873,0.013316591288793438,"(5, 11, 1)","(5, 10, 0)"
-17.97237925316621,0.00359077647447732,"(2, 21, 0)","(2, 20, 1)"
-17.970760843513403,0.0019453264575367362,"(5, 26, 0)","(4, 26, 1)"
-17.958511693468264,2.3025157267950254e-05,"(3, 10, 0)","(1, 9, 1)"
-17.957763389458933,0.0012743320984076596,"(3, 30, 0)","(2, 30, 1)"
-17.923941018212815,0.008840943358075516,"(0, 28, 2)","(0, 27, 3)"
-17.923940949383052,0.008840943359479242,"(0, 28, 0)","(0, 27, 1)"
-17.920561281027375,0.0011884787450465637,"(4, 30, 1)","(4, 30, 0)"
-17.8987632755898,0.0015117101352215422,"(2, 29, 0)","(2, 29, 1)"
-17.893039596242176,2.1055719947780697e-06,"(2, 13, 2)","(0, 13, 3)"
-17.875424591378163,0.007752388820064622,"(0, 27, 0)","(0, 26, 1)"
-17.875412907956104,0.007752388950828311,"(0, 27, 2)","(0, 26, 3)"
-17.87449640287352,4.826109914754989e-05,"(3, 15, 1)","(1, 15, 0)"
-17.861536374647926,0.0024817124818683686,"(5, 20, 3)","(5, 20, 2)"
-17.861536009272527,0.0024817124898041053,"(6, 20, 0)","(5, 20, 1)"
-17.85848087301426,0.002391799387254515,"(5, 23, 1)","(4, 23, 0)"
-17.858270864484865,0.0023918047470831367,"(5, 23, 2)","(5, 23, 3)"
-17.85349741506522,0.0007230234648779474,"(0, 28, 3)","(0, 28, 2)"
-17.853495435478692,0.0007230234978135476,"(0, 28, 1)","(0, 28, 0)"
-17.834533613138674,3.2068168280758573e-06,"(3, 12, 0)","(0, 12, 1)"
-17.825775313975868,0.00020490436592067552,"(4, 30, 2)","(5, 29, 3)"
-17.811406120860518,5.9359346994229354e-08,"(4, 10, 1)","(2, 11, 0)"
-17.81085822423293,5.936044903829774e-08,"(4, 10, 2)","(3, 11, 3)"
-17.78686926192529,0.001671734522767188,"(4, 28, 2)","(3, 28, 3)"
-17.78080844472933,0.00671094021921696,"(1, 26, 2)","(1, 25, 3)"
-17.78000416151619,0.006710940062858629,"(1, 26, 0)","(1, 25, 1)"
-17.760026002366004,2.3877239594196076e-06,"(1, 29, 1)","(0, 30, 0)"
-17.759985342686605,2.3877264860726722e-06,"(1, 29, 3)","(0, 30, 2)"
-17.751281110854677,0.008711544787495001,"(4, 16, 0)","(3, 15, 1)"
-17.75053836589791,0.0015195309609396792,"(2, 29, 2)","(2, 29, 3)"
-17.749805679297225,0.008711909319326697,"(3, 16, 3)","(3, 15, 2)"
-17.747457272535442,0.00011320263035019036,"(2, 20, 1)","(1, 20, 0)"
-17.742028087536966,0.0012069960184992298,"(1, 28, 2)","(0, 28, 3)"
-17.741951506885727,0.0012069982540503755,"(1, 28, 0)","(0, 28, 1)"
-17.73100413580849,4.7834415293915876e-06,"(4, 25, 0)","(3, 26, 1)"
-17.72629005125131,0.004281233030952971,"(2, 24, 2)","(2, 23, 3)"
-17.70301905359289,4.516708129418117e-05,"(2, 17, 1)","(0, 17, 0)"
-17.691602633370948,0.0018183824053650574,"(6, 16, 2)","(5, 16, 3)"
-17.691602633353682,0.0018183824053647696,"(6, 16, 1)","(6, 16, 0)"
-17.68401503457659,2.2693421032946342e-05,"(8, 29, 2)","(7, 30, 3)"
-17.684015033923345,2.2693421033017096e-05,"(8, 29, 1)","(8, 30, 0)"
-17.66901299596853,4.889226734587326e-06,"(4, 27, 3)","(2, 28, 2)"
-17.667407814230927,0.0015511341384670076,"(3, 29, 0)","(3, 29, 1)"
-17.656047827305176,6.777695030119422e-05,"(2, 12, 1)","(0, 11, 0)"
-17.655894857780027,0.005619329855808399,"(1, 25, 0)","(1, 24, 1)"
-17.645020080008265,6.93952711277901e-07,"(2, 19, 0)","(0, 20, 1)"
-17.644494014437342,0.0006253674499570353,"(1, 16, 1)","(0, 15, 0)"
-17.62759957908949,0.005618838490866216,"(1, 25, 2)","(1, 24, 3)"
-17.592299688192185,1.6629403127618587e-07,"(4, 11, 2)","(2, 12, 3)"
-17.590684211918486,1.6630334756545026e-07,"(4, 11, 1)","(3, 12, 0)"
-17.582673427287162,0.0002458753565021433,"(1, 15, 1)","(0, 14, 0)"
-17.580468388902773,0.001585193867591514,"(3, 29, 1)","(2, 29, 0)"
-17.572186960677215,6.588831406719829e-07,"(2, 21, 2)","(0, 22, 3)"
-17.568535051469524,0.0006915640356517337,"(2, 15, 1)","(1, 14, 0)"
-17.561082648628364,2.517032025659985e-05,"(2, 10, 3)","(1, 9, 2)"
-17.555810461921567,0.0014282677243538106,"(4, 29, 2)","(4, 29, 3)"
