frequency,intensity,lower_state,upper_state
-38.715291353907816,0.0005756334713060274,"(8, 25, 2)","(7, 24, 3)"
-38.7152913539077,0.0005756334713059806,"(8, 25, 1)","(8, 24, 0)"
-38.70899199827751,3.790230499348195e-06,"(5, 18, 1)","(3, 17, 0)"
-38.70859480173468,3.7902602943643234e-06,"(5, 18, 2)","(4, 17, 3)"
-38.6733928024928,2.2869637402349564e-05,"(10, 28, 3)","(10, 28, 2)"
-38.67339280249274,2.2869637402346003e-05,"(11, 28, 0)","(10, 28, 1)"
-38.661558114446564,1.369024323759897e-06,"(5, 28, 0)","(2, 28, 1)"
-38.650106919373,4.768014568886347e-05,"(4, 29, 1)","(3, 28, 0)"
-38.62812780956696,1.2833955276016722e-07,"(4, 17, 1)","(2, 16, 0)"
-38.62237109274412,2.8208449849782812e-05,"(1, 29, 0)","(0, 28, 1)"
-38.62137979888246,2.8209243977622058e-05,"(1, 29, 2)","(0, 28, 3)"
-38.61982205296579,2.047456902894708e-05,"(4, 26, 0)","(2, 25, 1)"
-38.6174625404127,1.0395222676460532e-06,"(6, 21, 1)","(4, 21, 0)"
-38.61742856195974,1.0395227110903425e-06,"(6, 21, 2)","(5, 21, 3)"
-38.617289289918375,1.161765833613472e-05,"(4, 22, 3)","(3, 21, 2)"
-38.61265840355588,7.663683929018844e-08,"(4, 20, 3)","(2, 20, 2)"
-38.601425014467196,0.0004468828535614654,"(7, 28, 1)","(6, 27, 0)"
-38.601424985818284,0.0004468828536633258,"(7, 28, 2)","(7, 27, 3)"
-38.55370705806129,2.201868828061139e-05,"(4, 25, 2)","(2, 24, 3)"
-38.45582078064726,3.364927777477294e-06,"(5, 28, 3)","(4, 28, 2)"
-38.4540029382066,7.278823950548793e-05,"(3, 30, 2)","(2, 29, 3)"
-38.4523749878924,1.9025312232116294e-07,"(3, 24, 3)","(1, 24, 2)"
-38.44391175527679,7.46563201018517e-07,"(4, 28, 0)","(1, 28, 1)"
-38.436759330128524,0.0006804097214656478,"(8, 23, 0)","(8, 22, 1)"
-38.43675933012841,0.0006804097214657058,"(9, 23, 3)","(8, 22, 2)"
-38.435674427779034,1.0900573434118781e-06,"(2, 22, 3)","(0, 21, 2)"
-38.404462233065246,3.6574033540014938e-06,"(3, 22, 3)","(1, 21, 2)"
-38.347554615353346,3.373601624030109e-06,"(6, 28, 0)","(4, 28, 1)"
-38.29352720997994,0.0007657267962924306,"(9, 21, 1)","(9, 20, 0)"
-38.29352720997986,0.0007657267962924705,"(9, 21, 2)","(8, 20, 3)"
-38.249820759438485,7.015393536037038e-08,"(4, 16, 2)","(2, 15, 3)"
-38.22062583752603,1.1675477940516285e-05,"(11, 24, 1)","(11, 24, 0)"
-38.220625837525915,1.1675477940515792e-05,"(11, 24, 2)","(10, 24, 3)"
-38.20193387002847,2.2342852433842498e-07,"(3, 19, 2)","(0, 18, 3)"
-38.197704030326946,8.585206213651017e-07,"(6, 20, 2)","(4, 20, 3)"
